id,level,jurisdiction,title,summary,takeaway,instrument,status,date,source_url,verified_at,state,source_label,source_tier,date_precision
al-statute-baseline,state,Alabama,Enacted AV Statute · Current Framework,Alabama's AV-specific statute governs automated commercial vehicles. Its scope does not establish a general passenger robotaxi pathway.,Alabama's AV-specific statute governs automated commercial vehicles,legislation,in_effect,,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2019RS/PrintFiles/SB47-Enr.pdf,2026-09-23,AL,Alabama SB 47 enrolled text,primary,undetermined
az-statute-baseline,state,Arizona,Enacted AV Statute · Current Framework,Arizona's AV framework grew from executive orders in 2015 and 2018. The state provides notification and certification guidance before testing and operation. A company operating in Arizona should not be interpreted as having statewide service coverage.,Arizona's AV framework grew from executive orders in 2015 and 2018,legislation,in_effect,2021,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,2026-09-23,AZ,Arizona DOT AV framework and HB 2813 history,primary,year
az-eo-2018,state,Arizona,Arizona Executive Order 2018-04,Historical executive framework for driverless testing and operation; much of it was codified in HB 2813 in 2021.,Historical executive framework for driverless testing and operation; much of it was codified in HB 2813 in 2021,executive_order,superseded,2018-03-01,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,2026-09-23,AZ,Arizona Executive Order 2018-04,primary,
ar-statute-baseline,state,Arkansas,Enacted AV Statute · Current Framework,"Arkansas permits driverless operation when statutory conditions and advance submissions, including commercial-purpose information, are satisfied.","Arkansas permits driverless operation when statutory conditions and advance submissions, including commercial-purpose information, are satisfied",legislation,in_effect,2019,https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2019%2F2019R&id=HB1561,2026-09-23,AR,Arkansas HB 1561 · AV pilot program,primary,year
ca-statute-baseline,state,California,Enacted AV Statute · Current Framework,"California distinguishes testing with a safety driver, driverless testing, and deployment. A state permit is not itself evidence of an active passenger service or a statewide ODD. Passenger service also has CPUC oversight.","California distinguishes testing with a safety driver, driverless testing, and deployment",legislation,in_effect,,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,2026-09-23,CA,California DMV AV program,primary,undetermined
co-statute-baseline,state,Colorado,Enacted AV Statute · Current Framework,"Colorado has an AV statute, while proposed in-vehicle human requirements for automated commercial trucks were vetoed in both 2025 and 2026. A vetoed bill cannot be treated as a current restriction.","Colorado has an AV statute, while proposed in-vehicle human requirements for automated commercial trucks were vetoed in both 2025 and 2026",legislation,in_effect,2017,https://leg.colorado.gov/bills/sb17-213,2026-09-23,CO,Colorado SB 17-213,primary,year
ct-statute-baseline,state,Connecticut,Enacted AV Statute · Current Framework,Connecticut's dedicated AV pathway centers on a limited pilot involving selected municipalities. A pilot law is not blanket authority for commercial deployment statewide.,Connecticut's dedicated AV pathway centers on a limited pilot involving selected municipalities,legislation,in_effect,,https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,2026-09-23,CT,Connecticut Public Act 17-69,primary,undetermined
de-eo-2017,state,Delaware,Delaware Executive Order 14,Created an advisory council on connected and autonomous vehicles; it did not itself authorize driverless commercial service.,Created an advisory council on connected and autonomous vehicles; it did not itself authorize driverless commercial service,executive_order,historical_status_unverified,2017-09-05,https://archives.delaware.gov/executive-orders/governor-john-carney/,2026-09-23,DE,Delaware Executive Order 14,primary,
fl-statute-baseline,state,Florida,Enacted AV Statute · Current Framework,Florida law allows driverless AV operation subject to statutory conditions. This review has not established a separate public company-level permit roster; a service announcement is not a state-issued ODD boundary.,Florida law allows driverless AV operation subject to statutory conditions,legislation,in_effect,,https://www.flsenate.gov/Laws/Statutes/2025/316.85,2026-09-23,FL,Florida Statutes § 316.85,primary,undetermined
ga-statute-baseline,state,Georgia,Enacted AV Statute · Current Framework,"Georgia enacted rules for fully autonomous vehicles through SB 219. The Observatory has operating evidence, but has not located a public state holder roster; the statute and an operator's actual service geography answer different questions.",Georgia enacted rules for fully autonomous vehicles through SB 219,legislation,in_effect,2017,https://www.legis.ga.gov/Legislation/20172018/170801.pdf,2026-09-23,GA,Georgia SB 219,primary,year
