company,service,approach,partnerships,source
Waymo,Driverless passenger ridehail in selected U.S. markets.,Geofenced commercial robotaxi service with market-specific operating areas.,Uber distributes Waymo rides in Austin and Atlanta.,https://waymo.com/waymo-on-uber/
Aurora,Commercial autonomous long-haul trucking.,"Aurora Driver operates on selected freight corridors, with truck-platform integrations.","Aurora names FedEx, Uber Freight, Volvo Autonomous Solutions, and others as commercial or technology collaborators.",https://ir.aurora.tech/
May Mobility,Autonomous passenger rides and shuttle-style service.,Deploys its driving system with local service partners in selected markets.,"Lyft carries its Atlanta rides; the company also describes partnerships with Uber, Toyota, NTT, and Grab. Announced services are not necessarily live.",https://maymobility.com/posts/may-mobility-first-publicly-listed-pure-play-autonomous-ride-hail-technology-company-acp-holdings-acquisition-corp/
Gatik,Middle-mile autonomous freight for retail and distribution routes.,"Uses box trucks on repeatable, selected logistics routes.","Gatik names Walmart, PepsiCo, Isuzu, and NVIDIA in customer or technology arrangements, with different roles.",https://www.gatik.ai/
Zoox,Passenger robotaxi service in limited markets.,Uses a purpose-built bidirectional vehicle and staged market rollout.,Operates its own rider app; this profile does not identify a third-party ridehail distributor.,https://zoox.com/journal/las-vegas
Avride,Passenger robotaxi rides offered in a limited Dallas area.,Avride's driving system is integrated into Hyundai IONIQ 5 vehicles offered through a ridehail platform. The Dallas launch included an onboard safety operator.,Uber distributes Dallas rides; Hyundai supplies the vehicle platform.,https://www.uber.com/us/en/newsroom/avride-on-uber/
Beep,Autonomous transit and shuttle services in selected local programs.,"Deploys shared, fixed-route mobility services with transit and civic partners.",Atlanta Beltline is a local pilot partner; Mobileye led Beep's 2026 funding round and collaborates on AV deployment.,https://ridebeep.com/about-beep/press-releases
Kodiak AI,"Autonomous freight trucking, including customer-owned trucks.",Provides a truck-driving system for selected long-haul and industrial logistics operations.,Atlas Energy Solutions is a commercial customer; Bosch and AMD are hardware collaborators.,https://kodiak.ai/news
Motional,IONIQ 5-based passenger robotaxis in Las Vegas.,Develops an automated driving system for a commercial ridehail fleet; rider access depends on the market and phase.,Uber distributes Motional rides in Las Vegas; Hyundai Motor Group is Motional's majority owner and vehicle partner.,https://motional.com/news/uber-and-motional-launch-robotaxi-service-las-vegas
Tesla,"Robotaxi rides in limited Texas and Florida markets, with supervision varying by place and phase.",Offers rides through its Robotaxi app using Tesla vehicles and its own driving system.,The rider service is distributed through Tesla's own app; no third-party ridehail partner is identified here.,https://www.tesla.com/support/robotaxi
Waabi,Autonomous trucking activity on selected routes; a robotaxi partnership is announced but future-facing.,"Develops a driving system and direct-to-customer trucking model, with a planned extension to robotaxis.",Uber Freight and Volvo Autonomous Solutions are trucking collaborators; Uber announced a future robotaxi partnership.,https://waabi.ai/insights
