date,evidence_status,verification_status,event_type,company,state,market,lat,lon,phase,activity_type,status,mode,source_url,geometry_basis,note,supervision,role
2026-09-22,current,source_verified_current,current_service_verified,Aurora,AZ,El Paso–Phoenix,32.5,-108.5,deployment,deployment,driverless_commercial,freight,https://ir.aurora.tech/news-events/press-releases/detail/132/aurora-triples-driverless-network-to-10-routes-and-prepares-to-expand-across-u-s-sun-belt,route_corridor,Aurora identifies El Paso–Phoenix as part of its driverless freight network.,,
2026-09-22,current,verified_current_market,current_service_verified,Aurora,AZ,Fort Worth–Phoenix,33,-109,deployment,deployment,driverless_commercial,freight,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,route_corridor,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,source_verified_current,current_testing_verified,Aurora,OK,Dallas–Oklahoma City,34,-97.3,testing,testing,supervised_autonomous_operations,freight,https://ir.aurora.tech/news-events/press-releases/detail/139/aurora-announces-first-quarter-2026-results,route_corridor,Aurora reports supervised autonomous operations on Dallas–Oklahoma City ahead of driverless validation.,,
2026-09-22,current,verified_current_market,current_service_verified,Aurora,TX,Dallas–Houston,31.1,-96.05,deployment,deployment,driverless_commercial,freight,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,route_corridor,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,verified_current_market,current_service_verified,Aurora,TX,Dallas–Laredo,30.3,-98.5,deployment,deployment,driverless_commercial,freight,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,route_corridor,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,source_verified_current,current_service_verified,Aurora,TX,Fort Worth–El Paso,31.3,-101,deployment,deployment,driverless_commercial,freight,https://ir.aurora.tech/news-events/press-releases/detail/132/aurora-triples-driverless-network-to-10-routes-and-prepares-to-expand-across-u-s-sun-belt,route_corridor,Aurora identifies Fort Worth–El Paso as part of its driverless freight network.,,
2026-09-22,current,regulator_verified_current,current_testing_odd_verified,AutoMo USA LLC,CA,San Francisco + Sunnyvale approved driverless-test ODD,,,testing,testing,driverless_testing_authorized,passenger,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,official_regulator_location_description,"DMV lists specified San Francisco neighborhoods and Sunnyvale north of El Camino Real, with distinct speed/time limits.",,
2026-09-22,current,verified_current_market,current_service_verified,Avride,TX,Dallas,32.7767,-96.797,deployment,deployment,commercial_autonomous_service,ridehail,https://www.uber.com/us/en/r/autonomous/dallas-tx-us/,city_point_only,Avride says it launched an autonomous taxi service in Dallas. Supervision is not inferred where the cited source does not specify it.,unspecified_by_source,
2026-09-22,current,source_verified_current,current_service_verified,Beep,CA,San Ramon,37.7799,-121.978,deployment,deployment,public_service,shuttle,https://ridebeep.com/locations/san-ramon-ca,route_description_only,"Beep's Presto service operates a four-stop autonomous shuttle route at Bishop Ranch connecting the San Ramon Transit Center, City Center, and corporate offices.",,
2026-09-22,current,verified_current_market,current_service_verified,Beep,FL,Altamonte Springs,28.6611,-81.3656,deployment,deployment,public_service,shuttle,https://www.ridebeep.com/locations/altamonte-springs-fl,route_description_only,CraneRIDES autonomous shuttle service is in Phase 2.,,
2026-09-22,current,verified_current_market,current_service_verified,Beep,FL,Lake Nona,28.3772,-81.2064,deployment,deployment,public_service,shuttle,https://ridebeep.com/locations/lake-nona-fl,service_area_description_only,Five-route autonomous shuttle network in the 17-square-mile Lake Nona community.,,
2026-09-22,current,verified_current_market,current_service_verified,Beep,GA,ATL Spoke,33.735,-84.413,deployment,deployment,public_service,shuttle,https://www.ridebeep.com/locations/atlspoke,route_description_only,Public autonomous shuttle pilot in Southwest Atlanta; approximately two miles on public streets.,,
2026-09-22,current,source_verified_current,current_service_verified,Gatik,AR,Northwest Arkansas,36.3729,-94.2088,deployment,deployment,driverless_commercial,freight,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,regional_area_description,Gatik identifies Northwest Arkansas as a current fully driverless commercial operating market. Exact route polygons are not public.,,
2026-09-22,current,source_verified_current,current_service_verified,Gatik,AZ,Phoenix Metro,33.4484,-112.074,deployment,deployment,driverless_commercial,freight,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,metro_area_description,Gatik identifies the Phoenix Metro area as a current fully driverless commercial operating market. Exact route polygons are not public.,,
2026-09-22,current,source_verified_current,current_service_verified,Gatik,NE,Nebraska,,,deployment,deployment,commercial_autonomous_freight,freight,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,state_only_public_description,"Gatik says it deploys autonomous trucks commercially in Nebraska, but the cited source does not specify a city, route, or driverless status there.",,
2026-09-22,current,source_verified_current,current_service_verified,Gatik,TX,Dallas–Fort Worth,32.7767,-96.797,deployment,deployment,driverless_commercial,freight,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,metro_area_description,Gatik identifies the Dallas–Fort Worth region as a current fully driverless commercial operating market. Exact route polygons are not public.,,
2026-09-22,announced,source_verified_announcement,announced_market_verified,Glydways,GA,South Metro Atlanta,33.6407,-84.4277,deployment,deployment,future_service_announced,transit,https://www.glydways.com/atlanta/,city_point_only,Publicly announced future passenger-service project. Not counted as current deployment.,,
2026-09-22,current,verified_current_market,current_service_verified,Kodiak AI,TX,Dallas–Houston,31.1,-96.05,deployment,deployment,commercial_autonomous_freight,freight,https://kodiak.ai/news/roehl-transport-autonomous-freight,route_corridor,Kodiak reports autonomous commercial freight hauling on Dallas–Houston. Driverless/supervised status is not inferred from this source.,unspecified_by_source,
2026-09-22,current,verified_current_market,current_service_verified,Kodiak AI,TX,Permian Basin,31.5,-102,deployment,deployment,driverless_commercial,freight,https://investors.kodiak.ai/news-releases/news-release-details/atlas-energy-solutions-expands-ai-enabled-digital-transformation,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,verified_current_market,current_service_verified,May Mobility,GA,Atlanta,33.749,-84.388,deployment,deployment,public_service,ridehail,https://maymobility.com/locations,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,verified_current_market,current_service_verified,May Mobility,MN,Eden Prairie,44.8547,-93.4708,deployment,deployment,public_service,shuttle,https://maymobility.com/locations,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,verified_current_market,current_service_verified,May Mobility,MN,Grand Rapids,47.2372,-93.5302,deployment,deployment,public_service,shuttle,https://maymobility.com/locations,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,regulator_verified_current,current_deployment_odd_verified,Mercedes-Benz R&D North America,CA,California freeway/highway deployment ODD,,,deployment,deployment,deployment_authorized,passenger,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,official_regulator_location_description,"DMV authorizes deployment on specified California freeways/highways in the Bay Area, Los Angeles, Sacramento, San Diego, I-5 and I-15 subject to ODD conditions; this is regulatory authorization, not a robotaxi service claim.",,
2026-09-22,current,source_verified_current,current_testing_verified,Mobileye,CA,Los Angeles,34.0522,-118.2437,testing,testing,ADS_supplier_testing,ridehail,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,city_point_only,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.,,ADS supplier
2026-09-22,current,source_verified_current,current_testing_verified,Mobileye,FL,Orlando,28.5383,-81.3792,testing,testing,ADS_supplier_testing,ridehail,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,city_point_only,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.,,ADS supplier
2026-09-22,current,source_verified_current,current_testing_verified,Mobileye,TX,Austin,30.2672,-97.7431,testing,testing,ADS_supplier_testing,ridehail,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,city_point_only,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.,,ADS supplier
2026-09-22,announced,source_verified_announcement,announced_market_verified,MOIA America,CA,Los Angeles,34.0522,-118.2437,deployment,deployment,future_service_announced,ridehail,https://www.volkswagen-group.com/en/articles/moia-america-to-deploy-autonomous-id-buzz-vehicles-on-the-uber-platform-in-los-angeles-by-the-end-of-2026-20306,city_point_only,"Volkswagen/MOIA says Uber rides are expected after the current on-road validation testing; stored as an announced future deployment, separate from current testing.",,
2026-09-22,current,verified_current_market,current_testing_verified,MOIA America,CA,Los Angeles,34.0522,-118.2437,testing,testing,testing,ridehail,https://www.volkswagen-group.com/en/articles/moia-america-to-deploy-autonomous-id-buzz-vehicles-on-the-uber-platform-in-los-angeles-by-the-end-of-2026-20306,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,verified_current_market,current_testing_verified,MOIA America,FL,Orlando,28.5383,-81.3792,testing,testing,testing,ridehail,https://ridebeep.com/partners/vehicle,city_point_only,"Beep says MOIA America is conducting on-road validation testing in Orlando, Los Angeles, and Austin.",,
2026-09-22,current,verified_current_market,current_testing_verified,MOIA America,TX,Austin,30.2672,-97.7431,testing,testing,testing,ridehail,https://ridebeep.com/partners/vehicle,city_point_only,"Beep says MOIA America is conducting on-road validation testing in Orlando, Los Angeles, and Austin.",,
2026-09-22,current,verified_current_market,current_service_verified,Motional,NV,Las Vegas,36.1699,-115.1398,deployment,deployment,supervised_commercial,ridehail,https://motional.com/news/motional-robotaxis-now-available-uber-las-vegas,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,source_verified_current,current_testing_verified,Motional,NV,Las Vegas,36.1699,-115.1398,testing,testing,driverless_testing,ridehail,https://motional.com/news,city_point_only,"Motional reports driverless testing underway in Las Vegas, separate from its supervised public Uber service.",,
2026-09-22,current,verified_current_market,current_testing_verified,Nuro,CA,San Francisco Bay Area,37.7749,-122.4194,testing,testing,testing,ridehail,https://www.nuro.ai/blog/uber-nuro-and-lucid-to-bring-robotaxi-service-to-houston-in-2027,city_point_only,Current market/status verified; exact current ODD boundary may be narrower than the market label.,,
2026-09-22,current,regulator_verified_current,current_deployment_odd_verified,Nuro,CA,San Mateo + Santa Clara Counties deployment ODD,,,deployment,deployment,deployment_authorized,ridehail,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,official_regulator_location_description,"DMV authorizes Nuro deployment in San Mateo and Santa Clara Counties; this is regulatory deployment authorization, not evidence of current public commercial service.",,
