date,event_type,phase,company,market,state,geometry_ref,geometry_basis,vehicles,platform,fares,service_model,supervision,access,fleet_partner,source_url,notes,source_dataset,source_dataset_url,source_license
2017-04-25,service_created,deployment,Waymo,Phoenix,AZ,waymo-phoenix-april-25-2017-boundary.geojson,avmap_geojson,Chrysler Pacifica Hybrid,Waymo,No,Flexible,Safety Driver,Waitlist,,https://www.technologyreview.com/2017/04/25/152152/waymo-has-invited-the-public-to-hop-into-its-self-driving-cars/, Waymo Phoenix service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2017-10-26,service_testing,testing,Waymo,Detroit,MI,"-83.0425,42.3297",point,,,,,Safety Driver,Testing,,https://waymo.com/blog/2017/10/michigan-is-waymos-winter-wonderland,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2017-11-07,supervision_updated,deployment,Waymo,Phoenix,AZ,,none,,,,,Autonomous,,,https://waymo.com/blog/2017/11/waymos-fully-self-driving-vehicles-are-here,Supervision level update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2017-11-30,service_testing,testing,Zoox,San Francisco,CA,"-122.4416,37.7717",point,Toyota Highlander,,,,Safety Driver,Testing,,"https://www.claimsjournal.com/news/west/2017/11/30/281801.htm#:~:text=November%2030%2C%202017%20/%20By%20Ashlee,to%20on%20San%20Francisco's%20streets.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2019-07-25,service_created,deployment,May Mobility,"Grand Rapids, MI",MI,may-mobility-grand-rapids-mi-july-25-2019-boundary.geojson,avmap_geojson,Polaris GEM,,No,Hub-to-Hub,Safety Driver,Public,,https://www.michiganbusiness.org/press-releases/2019/07/public-private-partners-launch-grand-rapids-autonomous-vehicle-initiative-avgr/,Downtown Grand Rapids autonomous shuttle service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2019-09-01,service_created,deployment,Oxa,"Lake Nona, FL",FL,"-81.2064,28.3772",point,Navya Shuttles,,No,Fixed Route,Safety Attendant,Public,Beep,https://ridebeep.com/locations/lake-nona-fl,Five routes with eight shuttles connecting nearly 10 key destinations within the 17-square-mile community,AV Map,https://github.com/path-avmap/av-map-data,MIT
2019-10-03,service_testing,testing,Zoox,Las Vegas,NV,"-115.1884,36.1011",point,Toyota Highlander,,,,Safety Driver,Testing,,"https://techcrunch.com/2019/10/03/self-driving-vehicle-startup-zoox-has-expanded-to-las-vegas/#:~:text=Kirsten%20Korosec,PM%20PDT%20%C2%B7%20October%203%2C%202019",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2020-10-08,access_policy_changed,deployment,Waymo,Phoenix,AZ,,none,,,,,,Public,,https://waymo.com/blog/2020/10/waymo-is-opening-its-fully-driverless-service-in-phoenix,Access policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2020-10-08,fares_policy_changed,deployment,Waymo,Phoenix,AZ,,none,,,Yes,,,,,https://waymo.com/blog/2020/10/waymo-is-opening-its-fully-driverless-service-in-phoenix,Fares policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2020-10-08,geometry_updated,deployment,Waymo,Phoenix,AZ,waymo-phoenix-october-8-2020-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2020/10/waymo-is-opening-its-fully-driverless-service-in-phoenix,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
