id,jurisdiction,number,title,summary,takeaway,status,measure_type,last_action_date,last_action,session,progress_stage,stage_dates,hearings,source_url,repository_url,reviewed_at,summary_reviewed_at
ca-sb1246-2025,CA,SB 1246,Autonomous vehicles,Would require AV manufacturers to maintain remote assistance capacity and broaden emergency responder coordination.,Would require AV manufacturers to maintain remote assistance capacity and broaden emergency responder coordination.,to_governor,bill,2026-08-21,Sent to governor.,2025-2026,executive,"{""executive"":""2026-08-21""}",[],https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB1246,,2026-09-23,2026-09-23
dc-b26-0684-2025,DC,B 26-0684,AV deployment authorization,"Would establish a DDOT commercial AV program with permits, safety plans and reporting.","Would establish a DDOT commercial AV program with permits, safety plans and reporting.",pending,bill,2026-05-01,Referred to Transportation and the Environment Committee.,2025-2026,committee,{},[],https://lims.dccouncil.gov/Legislation/B26-0684,,2026-09-23,2026-09-23
il-sb3308-2025,IL,SB 3308,Automated Driving Systems Development Act,"Would establish eligibility, permits and review for AV pilot projects.","Would establish eligibility, permits and review for AV pilot projects.",pending,bill,2026-02-03,Assigned to Senate Assignments Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/SB3308/2025,,2026-09-23,2026-09-23
il-sb3392-2025,IL,SB 3392,Autonomous Vehicle Pilot Project Act,Would require a pilot's operational design domain and limit its geographic scope.,Would require a pilot's operational design domain and limit its geographic scope.,pending,bill,2026-02-04,Assigned to Senate Assignments Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/SB3392/2025,,2026-09-23,2026-09-23
il-hb4663-2025,IL,HB 4663,Autonomous Vehicle Pilot Project Act,House proposal for AV pilot authorization and operational design domain limits.,House proposal for AV pilot authorization and operational design domain limits.,pending,bill,2026-01-28,Assigned to House Rules Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/HB4663/2025,,2026-09-23,2026-09-23
il-hb4789-2025,IL,HB 4789,Automated Driving Systems Development Act,House proposal for a state AV pilot application and oversight framework.,House proposal for a state AV pilot application and oversight framework.,pending,bill,2026-02-02,Assigned to House Rules Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/HB4789/2025,,2026-09-23,2026-09-23
il-hb5103-2025,IL,HB 5103,Automated Driving Systems Development Act,Would establish a state AV pilot program and application process.,Would establish a state AV pilot program and application process.,pending,bill,2026-02-05,Assigned to House Rules Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/HB5103/2025,,2026-09-23,2026-09-23
il-hb5220-2025,IL,HB 5220,Autonomous Vehicles Article,Would set requirements for AV testing on public roads and authorize state rules.,Would set requirements for AV testing on public roads and authorize state rules.,pending,bill,2026-02-05,Assigned to House Rules Committee.,2025-2026,committee,{},[],https://legiscan.com/IL/bill/HB5220/2025,,2026-09-23,2026-09-23
nj-a768-2026,NJ,A 768,AV testing on state roadways,Would permit AV testing and use on New Jersey roads under specified conditions.,Would permit AV testing and use on New Jersey roads under specified conditions.,pending,bill,2026-01-13,"Assembly Science, Innovation and Technology Committee.",2026-2027,committee,{},[],https://www.njleg.state.nj.us/bill-search/2026/A768,,2026-09-23,2026-09-23
nj-a958-2026,NJ,A 958,Law enforcement AV interaction training,Would require training for law enforcement interactions with AVs.,Would require training for law enforcement interactions with AVs.,pending,bill,2026-01-13,Assembly Public Safety and Preparedness Committee.,2026-2027,committee,{},[],https://www.njleg.state.nj.us/bill-search/2026/A958,,2026-09-23,2026-09-23
nj-s1677-2026,NJ,S 1677,Fully autonomous vehicle pilot,Would establish a state pilot program for fully autonomous vehicles.,Would establish a state pilot program for fully autonomous vehicles.,pending,bill,2026-05-11,Senate Budget and Appropriations Committee.,2026-2027,committee,{},[],https://www.njleg.state.nj.us/bill-search/2026/S1677,,2026-09-23,2026-09-23
nj-a3968-2026,NJ,A 3968,Fully autonomous vehicle pilot,Assembly companion proposal for an AV pilot program.,Assembly companion proposal for an AV pilot program.,pending,bill,2026-06-01,Assembly Appropriations Committee.,2026-2027,committee,{},[],https://www.njleg.state.nj.us/bill-search/2026/A3968,,2026-09-23,2026-09-23
ny-s10413-2025,NY,S 10413,Autonomous taxi licensing,Would require NYC Taxi and Limousine Commission licensing before AV taxi or ride-hail service in large cities.,Would require NYC Taxi and Limousine Commission licensing before AV taxi or ride-hail service in large cities.,pending,bill,2026-05-15,Senate Transportation Committee.,2025-2026,committee,{},[],https://www.nysenate.gov/legislation/bills/2025/S10413,,2026-09-23,2026-09-23
ny-a11500-2025,NY,A 11500,Albany-area driverless pilot,Would allow fully autonomous vehicle operation in Albany and Rensselaer counties for a limited term.,Would allow fully autonomous vehicle operation in Albany and Rensselaer counties for a limited term.,pending,bill,2026-05-28,Assembly Transportation Committee.,2025-2026,committee,{},[],https://assembly.state.ny.us/leg/?bn=A11500&term=2025,,2026-09-23,2026-09-23
pa-hr563-2025,PA,HR 563,Driverless vehicles study,Would direct a study of driverless vehicles' safety and workforce effects.,Would direct a study of driverless vehicles' safety and workforce effects.,pending,resolution,2026-06-10,House Communications and Technology Committee.,2025-2026,committee,{},[],https://www.legis.state.pa.us/cfdocs/billInfo/billInfo.cfm?syear=2025&sind=0&body=H&type=R&bn=563,,2026-09-23,2026-09-23
va-sb670-2026,VA,SB 670,Commercial automated driving systems,Would require licenses and conditions for commercial fully autonomous passenger and freight operation.,Would require licenses and conditions for commercial fully autonomous passenger and freight operation.,pending_carryover,bill,2026-02-11,Carried over in House Transportation Committee.,2026,committee,{},[],https://lis.virginia.gov/bill-details/20261/SB670,,2026-09-23,2026-09-23
