company,date,headline,summary,source,publisher,kind
Waymo,2026-09-01,"Waymo begins welcoming riders in Denver, Tampa, and San Diego",The company's service notice distinguishes gradual rider access from general availability.,https://support.google.com/waymo/announcements/12766613?hl=en,Waymo Help,announcement
Waymo,2026-02-24,Limited public rides begin in four additional cities,"Waymo announced rider access in Dallas, Houston, San Antonio, and Orlando.",https://waymo.com/blog/2026/02/dallas-houston-san-antonio-orlando/,Waymo,announcement
Aurora,2026-07-29,Aurora outlines fleet and corridor plans in shareholder letter,Its second-quarter filing discusses driverless fleet allocation and customer routes; the targets are company projections.,https://www.sec.gov/Archives/edgar/data/1828108/000182810826000075/aurora26q2shareholderlet.htm,Aurora SEC filing,filing
Aurora,2026-07-22,Aurora launches second-generation driverless trucks,Aurora describes the updated commercial hardware fleet and customer rollout.,https://ir.aurora.tech/news-events/press-releases/detail/144/aurora-launches-second-generation-driverless-trucks-in-u-s-to-meet-customer-demand,Aurora,announcement
May Mobility,2025-09-10,May Mobility and Lyft launch an Atlanta fleet,The partners describe their first autonomous fleet on the Lyft platform.,https://maymobility.com/posts/lyft-and-may-mobility-deploy-their-first-autonomous-vehicle-fleet-in-atlanta/,May Mobility,announcement
Gatik,2026-06-08,PepsiCo and Gatik announce freight agreement,The companies describe a multiyear autonomous freight arrangement in PepsiCo's North American supply chain.,https://www.pepsico.com/newsroom/press-releases/2026/pepsico-and-gatik-announce-multi-year-agreement-to-deploy-autonomous-freight-in-north-america,PepsiCo,announcement
Gatik,2026-01-27,Gatik reports scaled driverless commercial deliveries,Company announcement on expanded freight operations and its vehicle program.,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,Gatik,announcement
Zoox,2026-07-30,NHTSA grants temporary commercial vehicle exemption,The federal exemption addresses Zoox's purpose-built robotaxi design; state and local service approvals are separate.,https://www.nhtsa.gov/press-releases/cutting-red-tape-safely-fast-track-automated-vehicle,NHTSA,regulatory action
Zoox,2025-09-10,Zoox launches public Las Vegas service,Zoox describes availability on and near the Strip through its own app.,https://zoox.com/journal/las-vegas,Zoox,announcement
Avride,2025-12-02,Uber and Avride launch Dallas robotaxi rides,The initial service covered a limited nine-square-mile area with an onboard safety operator.,https://www.uber.com/us/en/newsroom/avride-on-uber/,Uber,announcement
Beep,2026-09-09,Beep announces funding led by Mobileye,The company says the round supports commercial autonomous mobility networks.,https://ridebeep.com/press-releases/beep-closes-series-b-to-accelerate-commercial-deployment-of-autonomous-mobility-networks,Beep,announcement
Beep,2026-06-10,ATL Spoke pilot opens in Atlanta,Beep and Atlanta Beltline announced public service for an autonomous transit pilot.,https://ridebeep.com/press-releases/beep-atlanta-beltline-partner-to-launch-atl-spoke-the-citys-first-autonomous-transit,Beep,announcement
Kodiak AI,2026-07-31,Atlas expands Kodiak-powered driverless fleet,The partners set a timetable to grow the Atlas fleet in the Permian Basin.,https://kodiak.ai/news/atlas-driverless-permian-expansion,Kodiak AI,announcement
Kodiak AI,2026-01-05,Kodiak and Bosch reach hardware agreement,The companies announced work on autonomous trucking hardware and sensors.,https://kodiak.ai/news/kodiak-bosch-scale-autonomous-trucking-hardware,Kodiak AI,announcement
Motional,2026-03-13,Uber and Motional launch Las Vegas robotaxi service,Uber riders became eligible to match with Motional IONIQ 5 vehicles.,https://motional.com/news/uber-and-motional-launch-robotaxi-service-las-vegas,Motional,announcement
Motional,2026-02-02,Motional begins driverless Las Vegas testing,Testing preceded the public ridehail launch and should be distinguished from paid service.,https://motional.com/news/our-journey-commercialize-driverless-ride-hail-las-vegas,Motional,announcement
Tesla,2026-06-03,Reuters reports unsupervised Austin rollout,The report covers Tesla's announcement of unsupervised rides in Austin; it does not establish the same operating mode in every market.,https://www.reuters.com/business/autos-transportation/tesla-rolls-out-unsupervised-robotaxis-austin-2026-06-03/,Reuters,media
Waabi,2026-01-28,Waabi announces funding and Uber robotaxi partnership,The company describes future robotaxi deployment and continuing trucking development; the announced robotaxis are not counted as live rides.,https://waabi.ai/insights/waabi-secures-1-billion-in-new-funding-to-lead-physical-ai-revolution,Waabi,announcement
