code,name,framework,analysis,oversight,enacted_legislation,executive_order_history,source_url,source_label,source_tier,verified_at
AL,Alabama,Commercial vehicles only,Alabama's AV-specific statute governs automated commercial vehicles. Its scope does not establish a general passenger robotaxi pathway.,Alabama DOT has state-level jurisdiction under the commercial vehicle framework.,True,False,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2019RS/PrintFiles/SB47-Enr.pdf,Alabama SB 47 enrolled text,primary,2026-09-23
AK,Alaska,No enacted AV operation framework identified,Proposals to restrict autonomous operation and assign operator liability remained under consideration in the 2026 survey. Proposed bills are not current operating authority.,General motor vehicle law applies while the proposed AV measures remain unenacted.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
AZ,Arizona,Notification and certification,Arizona's AV framework grew from executive orders in 2015 and 2018. The state provides notification and certification guidance before testing and operation. A company operating in Arizona should not be interpreted as having statewide service coverage.,Arizona MVD notification and certification.,True,True,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,Arizona DOT AV framework and HB 2813 history,primary,2026-09-23
AR,Arkansas,Driverless operation with submissions,"Arkansas permits driverless operation when statutory conditions and advance submissions, including commercial-purpose information, are satisfied.",State submission and applicable traffic and vehicle rules.,True,False,https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2019%2F2019R&id=HB1561,Arkansas HB 1561 · AV pilot program,primary,2026-09-23
CA,California,Separate testing and deployment permits,"DMV regulates AV testing and deployment under Articles 3.7 and 3.8. Its 2026 update followed a draft, formal proposal and two modified comment rounds. CPUC separately authorizes passenger service: test pilots cannot charge fares, while deployment programs can. A DMV permit alone does not authorize paid rides.","DMV: vehicle testing, deployment permits and reporting. CPUC: passenger service pilots, fare-charging deployment, passenger safety and service reporting.",True,False,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,California DMV AV program,primary,2026-09-23
CO,Colorado,AV operating framework; truck restrictions vetoed,"Colorado has an AV statute, while proposed in-vehicle human requirements for automated commercial trucks were vetoed in both 2025 and 2026. A vetoed bill cannot be treated as a current restriction.",State motor vehicle law and any applicable testing conditions.,True,False,https://leg.colorado.gov/bills/sb17-213,Colorado SB 17-213,primary,2026-09-23
CT,Connecticut,Municipal pilot program,Connecticut's dedicated AV pathway centers on a limited pilot involving selected municipalities. A pilot law is not blanket authority for commercial deployment statewide.,Pilot approval and participating municipalities.,True,False,https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,Connecticut Public Act 17-69,primary,2026-09-23
DE,Delaware,No enacted AV-specific operating statute identified,Delaware's 2025 proposal to require an onboard operator failed. Its AV advisory activity does not itself grant a commercial permit.,Ordinary vehicle rules; no distinct statewide commercial AV permit identified in the guide.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
FL,Florida,Statutory operation pathway,Florida law allows driverless AV operation subject to statutory conditions. This review has not established a separate public company-level permit roster; a service announcement is not a state-issued ODD boundary.,Vehicle registration and statutory operating requirements.,True,False,https://www.flsenate.gov/Laws/Statutes/2025/316.85,Florida Statutes § 316.85,primary,2026-09-23
GA,Georgia,ADS-specific statutory framework,"Georgia enacted rules for fully autonomous vehicles through SB 219. The Observatory has operating evidence, but has not located a public state holder roster; the statute and an operator's actual service geography answer different questions.",State motor vehicle law and applicable service regulation.,True,False,https://www.legis.ga.gov/Legislation/20172018/170801.pdf,Georgia SB 219,primary,2026-09-23
HI,Hawaii,Testing pilot legislation,Act 21 (2020) established a state AV testing pilot with an onboard human driver and a report to the 2023 legislature. It did not grant broad driverless commercial authority.,Hawaii DOT determined eligible pilot testers.,True,False,https://data.capitol.hawaii.gov/sessions/sessionlaws/Years/SLH2020/SLH2020_Act21.pdf,Hawaii Act 21 (2020),primary,2026-09-23
ID,Idaho,Planning and agency coordination,Idaho's executive-order committee examined testing and deployment issues. The 2026 survey identified no enacted AV-specific operating statute.,General motor vehicle requirements and agency guidance.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
IL,Illinois,State preemption of local prohibitions,"Illinois law limits local governments' ability to prohibit AVs, but that rule alone does not establish a statewide permit or demonstrate an active commercial service.",State vehicle and traffic law; local powers are constrained by statute.,True,True,https://www.ilga.gov/legislation/ilcs/fulltext?DocName=062500050K11-208,Illinois Vehicle Code § 11-208(e-10),primary,2026-09-23
IN,Indiana,No enacted AV-specific operating statute identified,Indiana's 2025 bill addressing autonomous tractor-trailers failed. The 2026 survey did not identify a dedicated AV operating law.,Ordinary vehicle and commercial-carrier requirements.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
IA,Iowa,Statutory operating pathway,"Iowa's statute addresses operation of automated driving systems. Multiple proposed 2026 changes failed, so those proposals should not be counted as current conditions.",State traffic and vehicle requirements under Iowa's AV statute.,True,False,https://www.legis.iowa.gov/docs/code/321.514.pdf,Iowa Code § 321.514,primary,2026-09-23
KS,Kansas,Private and commercial operation pathway,Kansas law accommodates private and commercial AV operation subject to statutory conditions. This permission says nothing about a particular company's ODD.,State vehicle and traffic rules.,True,False,https://www.kslegislature.gov/b2025_26/laws/008_000_0000_chapter/008_029_0000_article/008_029_0002_section/008_029_0002_k/,Kansas Statutes § 8-2902,primary,2026-09-23
KY,Kentucky,Operating statute with freight transition,Kentucky's AV framework took effect in 2024. The survey reports that a temporary onboard-driver rule for very heavy commercial vehicles expired in August 2026 after an extension failed.,State vehicle law and any remaining commercial-carrier requirements.,True,False,https://apps.legislature.ky.gov/record/24rs/hb7.html,Kentucky HB 7 (2024),primary,2026-09-23
LA,Louisiana,Commercial AV framework,Louisiana's dedicated AV operating provisions focus on commercial uses. Passenger service cannot be inferred from that freight-oriented authority.,State commercial-vehicle and traffic requirements.,True,False,https://www.legis.la.gov/legis/LawPrint.aspx?d=1148308,Louisiana Revised Statutes § 32:400.3,primary,2026-09-23
ME,Maine,Pilot authority,Maine authorizes transportation officials to establish AV pilot activity. The guide does not describe a broad commercial robotaxi approval regime.,Maine DOT pilot rules and general vehicle requirements.,True,True,https://www.legislature.maine.gov/legis/bills/bills_128th/chapters/RESOLVE46.asp,Maine Resolve Chapter 46,primary,2026-09-23
